year,actor1_country_code,actor2_country_code,event_count,num_mentions
2000-01-01,DEU,FRA,5,13
2000-01-01,KHM,LAO,2,9
2000-01-01,SYR,ISR,3,20
2000-01-01,TZA,BDI,5,13
2000-01-01,IRN,CHE,1,1
2000-01-01,USA,BGD,4,12
2000-01-01,ZAF,COD,1,1
2000-01-01,NOR,AFR,4,21
2000-01-01,DZA,ITA,1,2
2000-01-01,AUT,HUN,1,5
2000-01-01,PSE,MOZ,1,1
2000-01-01,EUR,SRB,1,4
2000-01-01,FRA,ETH,2,16
2000-01-01,USA,SGP,4,19
2000-01-01,USA,ERI,1,15
2000-01-01,ZMB,AGO,12,26
2000-01-01,MKD,ALB,1,4
2000-01-01,PRT,GIN,2,7
2000-01-01,ETH,ITA,1,4
2000-01-01,SEA,MYS,2,16
2000-01-01,CAN,RUS,1,4
2000-01-01,ITA,KEN,2,12
2000-01-01,TUR,EUR,2,8
2000-01-01,JPN,PSE,2,13
2000-01-01,PHL,CHN,2,10
2000-01-01,ALB,SRB,1,9
2000-01-01,RUS,CAN,1,9
2000-01-01,USA,KGZ,1,5
2000-01-01,USA,CAN,1,4
2000-01-01,DOM,HTI,3,10
2000-01-01,ARE,ITA,1,2
2000-01-01,AUS,CHN,1,2
2000-01-01,TZA,RWA,1,1
2000-01-01,USA,TMP,3,15
2000-01-01,NOR,FIN,2,7
2000-01-01,EUR,JOR,1,8
2000-01-01,IRN,BGD,2,6
2000-01-01,SGP,MYS,2,19
2000-01-01,EUR,BLR,4,23
2000-01-01,QAT,PSE,2,9
2000-01-01,SLE,LBR,11,34
2000-01-01,IRN,USA,1,6
2000-01-01,DNK,BLR,1,4
2000-01-01,ITA,TZA,1,2
2000-01-01,IDN,MYS,3,18
2000-01-01,WST,GBR,1,2
2000-01-01,HRV,USA,1,4
2000-01-01,SAU,IDN,1,9
2000-01-01,RUS,PSE,2,7
2000-01-01,BHS,HTI,3,9
2000-01-01,CUB,ESP,1,18
2000-01-01,AFR,ETH,2,14
2000-01-01,EGY,SYR,1,7
2000-01-01,ARE,PSE,1,7
2000-01-01,MOZ,ZAF,1,9
2000-01-01,MWI,AFR,2,9
2000-01-01,BEL,SLE,1,3
2000-01-01,NOR,GBR,25,103
2000-01-01,SAU,EGY,2,2
2000-01-01,RWA,ITA,1,4
2000-01-01,ETH,TUN,2,7
2000-01-01,JOR,IRQ,1,7
2000-01-01,SGP,PHL,1,1
2000-01-01,ESP,GBR,1,2
2000-01-01,TUR,GNQ,1,6
2000-01-01,MYS,IDN,1,8
2000-01-01,AFR,MWI,2,9
2000-01-01,CAN,KHM,2,8
2000-01-01,ZAF,FRA,1,1
2000-01-01,BGR,BGD,1,9
2000-01-01,ETH,CAN,1,6
2000-01-01,THA,MMR,2,7
2000-01-01,CHL,FRA,1,2
2000-01-01,ARE,SDN,2,5
2000-01-01,IDN,IRQ,1,1
2000-01-01,MYS,PHL,9,12
2000-01-01,JPN,KOR,5,17
2000-01-01,ZMB,ZWE,2,4
2000-01-01,BEL,JOR,1,8
2000-01-01,FRA,PHL,6,10
2000-01-01,WST,ALB,5,34
2000-01-01,DEU,MOZ,1,2
2000-01-01,JPN,DZA,3,32
2000-01-01,DNK,NOR,1,3
2000-01-01,KHM,USA,1,5
2000-01-01,UKR,RUS,1,12
2000-01-01,PSE,EGY,1,6
2000-01-01,ECU,HTI,2,4
2000-01-01,EUR,AGO,2,6
2000-01-01,USA,MOZ,12,60
2000-01-01,PSE,LBN,1,9
2000-01-01,ZAF,ZWE,9,21
2000-01-01,FRA,ALB,1,4
2000-01-01,PSE,ISR,5,35
2000-01-01,KEN,SOM,2,20
2000-01-01,KWT,PSE,4,10
2000-01-01,CRI,MEX,2,7
2000-01-01,IRN,TUR,5,22
2000-01-01,EUR,RUS,1,9
2000-01-01,IDN,TMP,1,6
2000-01-01,SRB,ALB,2,8
2000-01-01,IRQ,AUS,1,9
2000-01-01,NMR,CAN,1,2
2000-01-01,SWE,DEU,2,9
2000-01-01,EST,RUS,1,2
2000-01-01,BGR,ZAF,1,5
2000-01-01,RUS,IDN,2,25
2000-01-01,DEU,CIV,2,7
2000-01-01,KOR,SGP,3,27
2000-01-01,TMP,BRA,2,6
2000-01-01,IRN,IRQ,4,11
2000-01-01,RUS,CUB,1,8
2000-01-01,JPN,SGP,4,32
2000-01-01,KOR,JPN,3,13
2000-01-01,CUB,NIC,1,18
2000-01-01,DNK,DEU,3,12
2000-01-01,TUR,USA,4,11
2000-01-01,MRT,GIN,2,8
2000-01-01,FRA,CHE,3,9
2000-01-01,AUS,FRA,4,14
2000-01-01,ZMB,UGA,1,4
2000-01-01,SVK,CHE,1,7
2000-01-01,PSE,JOR,2,5
2000-01-01,YEM,ETH,2,27
2000-01-01,AGO,NAM,5,14
2000-01-01,RUS,ISL,2,14
2000-01-01,GRC,ARM,1,3
2000-01-01,CHE,HUN,5,15
2000-01-01,LBN,SAU,1,2
2000-01-01,MYS,SEA,1,4
2000-01-01,USA,SWE,1,6
2000-01-01,KEN,ZWE,3,3
2000-01-01,NLD,NOR,1,1
2000-01-01,PHL,IRQ,1,9
2000-01-01,PRK,SGP,1,4
2000-01-01,AUS,ALB,3,9
2000-01-01,PAN,FRA,2,15
2000-01-01,EGY,IRQ,3,24
2000-01-01,FRA,FIN,2,7
2000-01-01,WST,UKR,3,16
2000-01-01,KWT,JOR,4,16
2000-01-01,YEM,PSE,1,2
2000-01-01,COD,RWA,5,22
2000-01-01,AFR,ZAF,7,16
2000-01-01,PSE,KWT,1,8
2000-01-01,AZE,CHN,2,2
2000-01-01,AFG,FRA,1,3
2000-01-01,GBR,GRC,3,10
2000-01-01,TZA,CAN,1,4
2000-01-01,SDN,UGA,6,35
2000-01-01,FRA,MDG,1,9
2000-01-01,RUS,ITA,1,2
2000-01-01,ZAF,GBR,8,38
2000-01-01,KEN,USA,2,11
2000-01-01,TMP,IDN,2,3
2000-01-01,MYS,USA,6,25
2000-01-01,DNK,PRK,1,6
2000-01-01,USA,ISR,7,25
2000-01-01,SVK,CZE,1,7
2000-01-01,IRQ,JOR,4,13
2000-01-01,SEN,GIN,2,8
2000-01-01,JPN,BRN,1,1
2000-01-01,KWT,ITA,1,2
2000-01-01,FRA,CIV,1,6
2000-01-01,PRK,JPN,1,9
2000-01-01,ITA,GRC,2,4
2000-01-01,KEN,SDN,4,16
2000-01-01,USA,UGA,3,7
2000-01-01,LBY,ZAF,1,2
2000-01-01,PAN,BMU,1,4
2000-01-01,CHE,BGR,1,4
2000-01-01,CHE,USA,1,2
2000-01-01,TUR,LBN,8,16
2000-01-01,FRA,ITA,1,4
2000-01-01,FRA,RUS,1,7
2000-01-01,YEM,SOM,1,5
2000-01-01,GBR,KEN,2,5
2000-01-01,EUR,MOZ,1,8
2000-01-01,GBR,PRT,1,1
2000-01-01,IRN,EGY,2,4
2000-01-01,ESP,GIN,2,9
2000-01-01,PAN,PER,2,4
2000-01-01,IDN,BGD,1,8
2000-01-01,PNG,IDN,1,1
2000-01-01,USA,FRA,2,9
2000-01-01,NGA,NER,2,11
2000-01-01,USA,SOM,3,5
2000-01-01,ETH,ERI,4,20
2000-01-01,AFR,ZWE,3,6
2000-01-01,EUR,IDN,1,8
2000-01-01,USA,TUR,3,9
2000-01-01,ETH,SOM,1,7
2000-01-01,GRC,TUR,2,6
2000-01-01,POL,HUN,1,7
2000-01-01,JPN,RUS,7,21
2000-01-01,AFR,MOZ,14,51
2000-01-01,AFG,PAK,3,10
2000-01-01,PRK,RUS,1,4
2000-01-01,PHL,LBY,2,7
2000-01-01,USA,TJK,1,2
2000-01-01,GRC,SAU,1,5
2000-01-01,PRT,MOZ,2,12
2000-01-01,ISR,TUR,4,13
2000-01-01,IRQ,VNM,2,4
2000-01-01,ISR,LBN,12,68
2000-01-01,JPN,PRK,17,94
2000-01-01,YEM,KWT,1,18
2000-01-01,EUR,THA,1,4
2000-01-01,KGZ,USA,1,4
2000-01-01,SDN,ERI,8,45
2000-01-01,TUR,GRC,4,16
2000-01-01,JPN,TJK,2,11
2000-01-01,USA,AFG,2,4
2000-01-01,ESP,IRQ,1,5
2000-01-01,AFG,AUS,2,9
2000-01-01,NOR,SRB,1,1
2000-01-01,DEU,AFG,2,12
2000-01-01,TUR,CYP,7,25
2000-01-01,ISR,ETH,4,20
2000-01-01,LBR,CHN,1,5
2000-01-01,MYS,FRA,2,9
2000-01-01,AFR,ERI,1,18
2000-01-01,THA,KHM,1,6
2000-01-01,AFG,LBY,3,7
2000-01-01,SEA,FRA,1,3
2000-01-01,DJI,SOM,2,9
2000-01-01,USA,COL,2,3
2000-01-01,SGP,GBR,2,9
2000-01-01,CHN,PRK,4,15
2000-01-01,RUS,HUN,1,7
2000-01-01,VNM,GBR,1,1
2000-01-01,PHL,FRA,8,30
2000-01-01,HTI,USA,6,28
2000-01-01,USA,KEN,6,23
2000-01-01,MOZ,MWI,3,4
2000-01-01,BEL,SOM,1,3
2000-01-01,LBY,AFR,1,7
2000-01-01,ITA,PRK,2,3
2000-01-01,DNK,GBR,4,9
2000-01-01,ISR,KWT,1,8
2000-01-01,YEM,ERI,10,50
2000-01-01,USA,ECU,1,6
2000-01-01,DEU,GBR,6,42
2000-01-01,AFR,GBR,5,17
2000-01-01,USA,JPN,2,9
2000-01-01,NZL,IDN,1,9
2000-01-01,USA,ETH,2,7
2000-01-01,USA,CHE,3,7
2000-01-01,ZAF,NAM,1,2
2000-01-01,ARG,BOL,1,2
