year,action_country_code,event_count,total_num_mentions
2000-01-01,AA,3,7
2000-01-01,AC,27,71
2000-01-01,AE,426,1679
2000-01-01,AF,5536,27391
2000-01-01,AG,3533,18647
2000-01-01,AJ,1736,9565
2000-01-01,AL,6527,31317
2000-01-01,AM,1240,6411
2000-01-01,AO,3681,16333
2000-01-01,AQ,13,72
2000-01-01,AR,1156,5391
2000-01-01,AS,2513,11748
2000-01-01,AU,1273,6341
2000-01-01,AV,13,122
2000-01-01,AY,6,51
2000-01-01,BA,152,762
2000-01-01,BB,24,108
2000-01-01,BC,255,1055
2000-01-01,BD,33,122
2000-01-01,BE,1373,6729
2000-01-01,BF,68,240
2000-01-01,BG,1699,9089
2000-01-01,BH,142,455
2000-01-01,BK,2177,10731
2000-01-01,BL,612,3706
2000-01-01,BM,1834,9922
2000-01-01,BN,183,895
2000-01-01,BO,940,5593
2000-01-01,BP,644,4572
2000-01-01,BR,1573,7378
2000-01-01,BT,109,609
2000-01-01,BU,988,4540
2000-01-01,BX,104,466
2000-01-01,BY,2359,16601
2000-01-01,CA,2276,10288
2000-01-01,CB,1623,8384
2000-01-01,CD,379,2096
2000-01-01,CE,8051,56587
2000-01-01,CF,306,1387
2000-01-01,CG,1326,5656
2000-01-01,CH,10748,60849
2000-01-01,CI,1285,6437
2000-01-01,CJ,20,76
2000-01-01,CM,244,1197
2000-01-01,CN,95,403
2000-01-01,CO,7565,38988
2000-01-01,CQ,756,3624
2000-01-01,CS,187,803
2000-01-01,CT,209,1164
2000-01-01,CU,2278,10051
2000-01-01,CV,7,31
2000-01-01,CW,1,5
2000-01-01,CY,649,2566
2000-01-01,DA,484,2654
2000-01-01,DJ,290,1266
2000-01-01,DO,22,104
2000-01-01,DR,203,935
2000-01-01,EC,478,2512
2000-01-01,EG,4420,23990
2000-01-01,EI,1252,6471
2000-01-01,EK,51,219
2000-01-01,EN,254,1351
2000-01-01,ER,1854,9643
2000-01-01,ES,318,1615
2000-01-01,ET,2564,13880
2000-01-01,EZ,1633,9283
2000-01-01,FG,24,79
2000-01-01,FI,355,1578
2000-01-01,FJ,2535,18603
2000-01-01,FM,147,781
2000-01-01,FO,1,5
2000-01-01,FP,7,27
2000-01-01,FR,8554,39092
2000-01-01,GA,583,2921
2000-01-01,GB,77,426
2000-01-01,GG,952,5068
2000-01-01,GH,763,3439
2000-01-01,GI,30,158
2000-01-01,GJ,119,450
2000-01-01,GK,1,4
2000-01-01,GL,11,70
2000-01-01,GM,6617,31471
2000-01-01,GP,6,30
2000-01-01,GQ,28,200
2000-01-01,GR,2340,11897
2000-01-01,GT,829,4203
2000-01-01,GV,1353,6993
2000-01-01,GY,116,456
2000-01-01,GZ,2394,10355
2000-01-01,HA,1328,5980
2000-01-01,HK,895,5544
2000-01-01,HO,160,668
2000-01-01,HR,2927,14096
2000-01-01,HU,1068,5736
2000-01-01,IC,11,57
2000-01-01,ID,13989,85741
2000-01-01,IM,1,2
2000-01-01,IN,10040,57226
2000-01-01,IO,5,16
2000-01-01,IR,11917,64855
2000-01-01,IS,34613,217876
2000-01-01,IT,3790,17800
2000-01-01,IV,1829,12326
2000-01-01,IZ,5285,27383
2000-01-01,JA,6176,35082
2000-01-01,JE,23,97
2000-01-01,JM,152,750
2000-01-01,JO,2146,10674
2000-01-01,KE,4703,22691
2000-01-01,KG,1374,7783
2000-01-01,KN,1697,9472
2000-01-01,KR,22,103
2000-01-01,KS,2690,16455
2000-01-01,KT,1,9
2000-01-01,KU,998,4555
2000-01-01,KV,471,1893
2000-01-01,KZ,791,4213
2000-01-01,LA,570,2858
2000-01-01,LE,8939,40971
2000-01-01,LG,1016,4708
2000-01-01,LH,466,2320
2000-01-01,LI,1642,7657
2000-01-01,LO,615,3658
2000-01-01,LS,27,139
2000-01-01,LT,273,1247
2000-01-01,LU,124,648
2000-01-01,LY,1654,7207
2000-01-01,MA,65,405
2000-01-01,MB,1,4
2000-01-01,MC,139,771
2000-01-01,MD,279,1614
2000-01-01,MF,13,22
2000-01-01,MG,122,739
2000-01-01,MH,10,36
2000-01-01,MI,382,1846
2000-01-01,MJ,864,4446
2000-01-01,MK,828,4006
2000-01-01,ML,175,779
2000-01-01,MN,10,26
2000-01-01,MO,982,4815
2000-01-01,MP,81,372
2000-01-01,MR,153,877
2000-01-01,MT,99,421
2000-01-01,MU,116,567
2000-01-01,MV,2,7
2000-01-01,MX,2916,14400
2000-01-01,MY,4851,26996
2000-01-01,MZ,956,4434
2000-01-01,NC,7,30
2000-01-01,NE,1,9
2000-01-01,NG,210,1288
2000-01-01,NH,21,92
2000-01-01,NI,11753,59402
2000-01-01,NL,1536,7964
2000-01-01,NO,876,4527
2000-01-01,NP,1523,10017
2000-01-01,NR,4,19
2000-01-01,NS,43,189
2000-01-01,NT,3,18
2000-01-01,NU,249,1074
2000-01-01,NZ,746,3544
2000-01-01,OC,155,830
2000-01-01,OD,10,16
2000-01-01,OS,287,1457
2000-01-01,PA,442,1970
2000-01-01,PE,1326,7632
2000-01-01,PG,2,8
2000-01-01,PK,11099,62869
2000-01-01,PL,1889,9531
2000-01-01,PM,532,2136
2000-01-01,PO,819,3728
2000-01-01,PP,235,1207
2000-01-01,PS,14,70
2000-01-01,PU,318,1540
2000-01-01,QA,269,1196
2000-01-01,RB,10907,58164
2000-01-01,RE,3,19
2000-01-01,RI,4582,20485
2000-01-01,RM,14,70
2000-01-01,RN,2,16
2000-01-01,RO,1018,4826
2000-01-01,RP,15290,80382
2000-01-01,RQ,219,1002
2000-01-01,RS,38977,211970
2000-01-01,RW,3483,18511
2000-01-01,SA,2808,14706
2000-01-01,SC,2,4
2000-01-01,SE,106,447
2000-01-01,SF,6941,26966
2000-01-01,SG,776,3937
2000-01-01,SI,202,936
2000-01-01,SL,4325,26542
2000-01-01,SM,4,18
2000-01-01,SN,438,2510
2000-01-01,SO,1751,8336
2000-01-01,SP,6011,30455
2000-01-01,ST,6,14
2000-01-01,SU,2790,14707
2000-01-01,SW,997,4131
2000-01-01,SY,2170,8986
2000-01-01,SZ,1299,6530
2000-01-01,TD,111,422
2000-01-01,TH,3212,17157
2000-01-01,TI,2114,10987
2000-01-01,TN,17,65
2000-01-01,TO,306,1266
2000-01-01,TP,2,21
2000-01-01,TS,397,1773
2000-01-01,TT,1713,7969
2000-01-01,TU,8803,46496
2000-01-01,TV,16,101
2000-01-01,TW,1710,10030
2000-01-01,TX,100,446
2000-01-01,TZ,1870,9321
2000-01-01,UG,6374,30873
2000-01-01,UK,11358,53882
2000-01-01,UP,1634,8694
2000-01-01,US,31230,142901
2000-01-01,UV,345,1873
2000-01-01,UY,68,326
2000-01-01,UZ,1422,7585
2000-01-01,VC,4,31
2000-01-01,VE,801,3912
2000-01-01,VI,13,72
2000-01-01,VM,1622,7715
2000-01-01,VQ,6,30
2000-01-01,VT,21,58
2000-01-01,WA,2496,10316
2000-01-01,WE,6460,29140
2000-01-01,WI,27,127
2000-01-01,WQ,2,10
2000-01-01,WS,212,933
2000-01-01,WZ,511,2330
2000-01-01,YI,897,4220
2000-01-01,YM,1659,9503
2000-01-01,ZA,2134,9327
2000-01-01,ZI,4196,24407
2001-01-01,AA,27,61
2001-01-01,AC,10,40
2001-01-01,AE,752,2761
