year,country3,population
1960,ABW,54211.0
1961,ABW,55438.0
1962,ABW,56225.0
1963,ABW,56695.0
1964,ABW,57032.0
1965,ABW,57360.0
1966,ABW,57715.0
1967,ABW,58055.0
1968,ABW,58386.0
1969,ABW,58726.0
1970,ABW,59063.0
1971,ABW,59440.0
1972,ABW,59840.0
1973,ABW,60243.0
1974,ABW,60528.0
1975,ABW,60657.0
1976,ABW,60586.0
1977,ABW,60366.0
1978,ABW,60103.0
1979,ABW,59980.0
1980,ABW,60096.0
1981,ABW,60567.0
1982,ABW,61345.0
1983,ABW,62201.0
1984,ABW,62836.0
1985,ABW,63026.0
1986,ABW,62644.0
1987,ABW,61833.0
1988,ABW,61079.0
1989,ABW,61032.0
1990,ABW,62149.0
1991,ABW,64622.0
1992,ABW,68235.0
1993,ABW,72504.0
1994,ABW,76700.0
1995,ABW,80324.0
1996,ABW,83200.0
1997,ABW,85451.0
1998,ABW,87277.0
1999,ABW,89005.0
2000,ABW,90853.0
2001,ABW,92898.0
2002,ABW,94992.0
2003,ABW,97017.0
2004,ABW,98737.0
2005,ABW,100031.0
2006,ABW,100832.0
2007,ABW,101220.0
2008,ABW,101353.0
2009,ABW,101453.0
2010,ABW,101669.0
2011,ABW,102053.0
2012,ABW,102577.0
2013,ABW,103187.0
2014,ABW,103795.0
2015,ABW,104341.0
2016,ABW,104822.0
2017,ABW,105264.0
1960,AFG,8996351.0
1961,AFG,9166764.0
1962,AFG,9345868.0
1963,AFG,9533954.0
1964,AFG,9731361.0
1965,AFG,9938414.0
1966,AFG,10152331.0
1967,AFG,10372630.0
1968,AFG,10604346.0
1969,AFG,10854428.0
1970,AFG,11126123.0
1971,AFG,11417825.0
1972,AFG,11721940.0
1973,AFG,12027822.0
1974,AFG,12321541.0
1975,AFG,12590286.0
1976,AFG,12840299.0
1977,AFG,13067538.0
1978,AFG,13237734.0
1979,AFG,13306695.0
1980,AFG,13248370.0
1981,AFG,13053954.0
1982,AFG,12749645.0
1983,AFG,12389269.0
1984,AFG,12047115.0
1985,AFG,11783050.0
1986,AFG,11601041.0
1987,AFG,11502761.0
1988,AFG,11540888.0
1989,AFG,11777609.0
1990,AFG,12249114.0
1991,AFG,12993657.0
1992,AFG,13981231.0
1993,AFG,15095099.0
1994,AFG,16172719.0
1995,AFG,17099541.0
1996,AFG,17822884.0
